                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                0.55457,                0.50062,                    1.2,                0.86909,                0.86682,                 0.8786,                0.77893,                0.56378,                0.80946,                 1.3573,               0.002344,               0.002344,               0.002344
                    119,                0.55577,                 0.5018,                    1.2,                0.86925,                0.86701,                0.87849,                0.77924,                0.56386,                0.80966,                 1.3577,               0.002278,               0.002278,               0.002278
                    120,                0.54908,                0.49261,                 1.1989,                0.86985,                0.86733,                0.87919,                0.78044,                 0.5637,                0.80834,                  1.358,               0.002212,               0.002212,               0.002212
                    121,                0.54687,                0.49048,                    1.2,                0.87013,                0.86724,                0.87911,                0.77911,                 0.5633,                0.80747,                 1.3582,               0.002146,               0.002146,               0.002146
                    122,                0.54472,                0.49178,                 1.1966,                0.87031,                 0.8675,                0.87918,                0.77932,                0.56343,                0.80798,                 1.3585,                0.00208,                0.00208,                0.00208
                    123,                0.54333,                0.48811,                 1.2019,                0.86971,                0.86772,                0.87963,                0.77984,                0.56332,                0.80822,                 1.3588,               0.002014,               0.002014,               0.002014
                    124,                0.53671,                0.48059,                 1.1988,                0.86949,                0.86735,                0.87988,                 0.7805,                0.56315,                0.80817,                 1.3588,               0.001948,               0.001948,               0.001948
                    125,                0.53881,                0.48543,                 1.1931,                0.86924,                0.86818,                0.88001,                0.78063,                0.56329,                0.80945,                 1.3595,               0.001882,               0.001882,               0.001882
                    126,                 0.5342,                0.47728,                 1.1957,                0.86896,                0.86846,                0.88027,                0.78086,                0.56265,                 0.8089,                 1.3601,               0.001816,               0.001816,               0.001816
                    127,                0.52982,                0.47686,                 1.1936,                0.86921,                 0.8684,                0.88031,                0.78129,                 0.5629,                0.80893,                 1.3602,                0.00175,                0.00175,                0.00175
                    128,                0.52875,                0.47501,                 1.1967,                0.87001,                0.86842,                0.88072,                0.78156,                0.56229,                0.80875,                 1.3605,               0.001684,               0.001684,               0.001684
                    129,                0.51692,                0.46221,                 1.1896,                0.86964,                0.86889,                 0.8812,                0.78287,                0.56203,                 0.8081,                 1.3608,               0.001618,               0.001618,               0.001618
                    130,                0.51931,                0.46415,                 1.1843,                0.86988,                0.86892,                 0.8809,                0.78281,                0.56129,                0.80779,                 1.3608,               0.001552,               0.001552,               0.001552
                    131,                0.51211,                 0.4558,                 1.1861,                0.86961,                0.86891,                0.88121,                0.78329,                0.56107,                0.80747,                  1.361,               0.001486,               0.001486,               0.001486
                    132,                0.51763,                0.46192,                 1.1885,                0.86976,                0.86888,                0.88159,                0.78346,                 0.5605,                0.80826,                 1.3612,                0.00142,                0.00142,                0.00142
                    133,                0.51423,                 0.4563,                 1.1874,                0.86972,                0.86919,                0.88194,                0.78395,                0.56036,                 0.8073,                 1.3611,               0.001354,               0.001354,               0.001354
                    134,                0.50734,                0.45209,                 1.1827,                0.86872,                0.86915,                0.88222,                0.78436,                0.56037,                0.80658,                 1.3605,               0.001288,               0.001288,               0.001288
                    135,                0.50247,                0.44472,                 1.1791,                0.87068,                0.86665,                0.88187,                 0.7837,                0.55994,                0.80579,                 1.3608,               0.001222,               0.001222,               0.001222
                    136,                0.50269,                0.44707,                  1.181,                0.87111,                0.86692,                0.88219,                0.78376,                0.55976,                0.80574,                 1.3611,               0.001156,               0.001156,               0.001156
                    137,                0.50122,                0.44496,                   1.18,                0.87324,                0.86587,                0.88273,                0.78426,                0.55965,                0.80633,                 1.3613,                0.00109,                0.00109,                0.00109
                    138,                0.50267,                0.44875,                 1.1801,                0.87253,                0.86631,                0.88293,                0.78432,                0.55935,                0.80619,                 1.3615,               0.001024,               0.001024,               0.001024
                    139,                0.49348,                0.43453,                  1.176,                0.87164,                0.86732,                0.88292,                0.78444,                0.55848,                0.80613,                 1.3618,               0.000958,               0.000958,               0.000958
                    140,                0.49151,                0.43332,                 1.1762,                0.87201,                0.86716,                0.88295,                0.78446,                0.55853,                0.80651,                 1.3622,               0.000892,               0.000892,               0.000892
                    141,                0.47031,                0.42212,                 1.1716,                0.87302,                0.86752,                 0.8832,                0.78489,                0.55795,                0.80674,                 1.3622,               0.000826,               0.000826,               0.000826
                    142,                0.46386,                0.41347,                 1.1684,                0.87393,                0.86773,                0.88263,                0.78414,                0.55795,                0.80734,                 1.3626,                0.00076,                0.00076,                0.00076
                    143,                0.45755,                0.40762,                 1.1655,                0.87519,                0.86759,                0.88326,                0.78509,                0.55785,                0.80711,                 1.3624,               0.000694,               0.000694,               0.000694
                    144,                0.45384,                 0.4052,                 1.1602,                0.87651,                0.86667,                0.88363,                0.78599,                0.55769,                0.80704,                 1.3627,               0.000628,               0.000628,               0.000628
                    145,                0.45217,                0.40124,                 1.1612,                  0.877,                0.86692,                0.88378,                0.78543,                0.55733,                0.80821,                 1.3627,               0.000562,               0.000562,               0.000562
                    146,                0.44524,                0.39234,                 1.1557,                  0.877,                0.86809,                0.88376,                0.78569,                0.55739,                0.80924,                 1.3632,               0.000496,               0.000496,               0.000496
                    147,                0.44147,                0.38881,                 1.1533,                0.87754,                 0.8677,                0.88355,                0.78559,                 0.5573,                0.80992,                 1.3632,                0.00043,                0.00043,                0.00043
                    148,                 0.4368,                0.38989,                 1.1539,                 0.8804,                0.86594,                0.88383,                0.78623,                0.55657,                0.81058,                 1.3631,               0.000364,               0.000364,               0.000364
                    149,                0.43246,                0.38462,                 1.1523,                0.88135,                0.86507,                0.88374,                0.78551,                0.55647,                0.81101,                 1.3631,               0.000298,               0.000298,               0.000298
                    150,                0.42882,                0.37875,                 1.1534,                0.88177,                0.86461,                0.88351,                0.78545,                0.55624,                0.81143,                 1.3633,               0.000232,               0.000232,               0.000232
